cve_id,description,cvss_score,published_date,epss_score,days_since_published
CVE-2025-11749,"The AI Engine plugin for WordPress is vulnerable to Sensitive Information Exposure in all versions up to, and including, 3.1.3 via the /mcp/v1/ REST API endpoint that exposes the 'Bearer Token' value when 'No-Auth URL' is enabled. This makes it possible for unauthenticated attackers to extract the bearer token, which can be used to gain access to a valid session and perform many actions like creating a new administrator account, leading to privilege escalation.",9.8,2025-11-05 06:15:33.097000+00:00,0.85413,117
CVE-2025-12139,"The File Manager for Google Drive – Integrate Google Drive with WordPress plugin for WordPress is vulnerable to sensitive information exposure in all versions up to, and including, 1.5.3 via the ""get_localize_data"" function. This makes it possible for unauthenticated attackers to extract sensitive data including Google OAuth credentials (client_id and client_secret) and Google account email addresses.",7.5,2025-11-05 07:15:32.340000+00:00,0.27945,117
